lib	unit	sample	fq1	fq2
lib8	1	USGS_210049	fastqs/lib8/USGS_210049_1.fq.gz	fastqs/lib8/USGS_210049_2.fq.gz
lib8	1	USGS_210101	fastqs/lib8/USGS_210101_1.fq.gz	fastqs/lib8/USGS_210101_2.fq.gz
lib8	1	USGS_210114	fastqs/lib8/USGS_210114_1.fq.gz	fastqs/lib8/USGS_210114_2.fq.gz
lib8	1	USGS_210127	fastqs/lib8/USGS_210127_1.fq.gz	fastqs/lib8/USGS_210127_2.fq.gz
lib8	1	USGS_210151	fastqs/lib8/USGS_210151_1.fq.gz	fastqs/lib8/USGS_210151_2.fq.gz
lib8	1	USGS_210168	fastqs/lib8/USGS_210168_1.fq.gz	fastqs/lib8/USGS_210168_2.fq.gz
lib8	1	USGS_210260	fastqs/lib8/USGS_210260_1.fq.gz	fastqs/lib8/USGS_210260_2.fq.gz
lib8	1	USGS_210281	fastqs/lib8/USGS_210281_1.fq.gz	fastqs/lib8/USGS_210281_2.fq.gz
lib8	1	USGS_210288	fastqs/lib8/USGS_210288_1.fq.gz	fastqs/lib8/USGS_210288_2.fq.gz
lib8	1	USGS_211563	fastqs/lib8/USGS_211563_1.fq.gz	fastqs/lib8/USGS_211563_2.fq.gz
lib8	1	USGS_220435	fastqs/lib8/USGS_220435_1.fq.gz	fastqs/lib8/USGS_220435_2.fq.gz
lib8	1	USGS_220327	fastqs/lib8/USGS_220327_1.fq.gz	fastqs/lib8/USGS_220327_2.fq.gz
lib8	1	USGS_210015	fastqs/lib8/USGS_210015_1.fq.gz	fastqs/lib8/USGS_210015_2.fq.gz
lib8	1	USGS_222199	fastqs/lib8/USGS_222199_1.fq.gz	fastqs/lib8/USGS_222199_2.fq.gz
lib8	1	USGS_222225	fastqs/lib8/USGS_222225_1.fq.gz	fastqs/lib8/USGS_222225_2.fq.gz
lib8	1	BP26JUN19_2_RAPR_U	fastqs/lib8/BP26JUN19_2_RAPR_U_1.fq.gz	fastqs/lib8/BP26JUN19_2_RAPR_U_2.fq.gz
lib8	1	BP26JUN19_4_RAPR_U	fastqs/lib8/BP26JUN19_4_RAPR_U_1.fq.gz	fastqs/lib8/BP26JUN19_4_RAPR_U_2.fq.gz
lib8	1	USGS_221121	fastqs/lib8/USGS_221121_1.fq.gz	fastqs/lib8/USGS_221121_2.fq.gz
lib8	1	USGS_212134	fastqs/lib8/USGS_212134_1.fq.gz	fastqs/lib8/USGS_212134_2.fq.gz
lib8	1	HOGCRWHTHSE212407	fastqs/lib8/HOGCRWHTHSE212407_1.fq.gz	fastqs/lib8/HOGCRWHTHSE212407_2.fq.gz
lib8	1	HOG_WH01_212130	fastqs/lib8/HOG_WH01_212130_1.fq.gz	fastqs/lib8/HOG_WH01_212130_2.fq.gz
lib8	1	HOG_WH02_212131	fastqs/lib8/HOG_WH02_212131_1.fq.gz	fastqs/lib8/HOG_WH02_212131_2.fq.gz
lib8	1	HOG_WH04_212133	fastqs/lib8/HOG_WH04_212133_1.fq.gz	fastqs/lib8/HOG_WH04_212133_2.fq.gz
lib8	1	RAPRF_1_KC_19JUN19	fastqs/lib8/RAPRF_1_KC_19JUN19_1.fq.gz	fastqs/lib8/RAPRF_1_KC_19JUN19_2.fq.gz
lib8	1	USGS_211940	fastqs/lib8/USGS_211940_1.fq.gz	fastqs/lib8/USGS_211940_2.fq.gz
lib8	1	USGS_211958	fastqs/lib8/USGS_211958_1.fq.gz	fastqs/lib8/USGS_211958_2.fq.gz
lib8	1	USGS_211927	fastqs/lib8/USGS_211927_1.fq.gz	fastqs/lib8/USGS_211927_2.fq.gz
lib8	1	USGS_211740	fastqs/lib8/USGS_211740_1.fq.gz	fastqs/lib8/USGS_211740_2.fq.gz
lib8	1	USGS_211804	fastqs/lib8/USGS_211804_1.fq.gz	fastqs/lib8/USGS_211804_2.fq.gz
lib8	1	USGS_212180	fastqs/lib8/USGS_212180_1.fq.gz	fastqs/lib8/USGS_212180_2.fq.gz
lib8	1	USGS_212197	fastqs/lib8/USGS_212197_1.fq.gz	fastqs/lib8/USGS_212197_2.fq.gz
lib8	1	USGS_220141	fastqs/lib8/USGS_220141_1.fq.gz	fastqs/lib8/USGS_220141_2.fq.gz
lib8	1	USGS_220182	fastqs/lib8/USGS_220182_1.fq.gz	fastqs/lib8/USGS_220182_2.fq.gz
lib8	1	USGS_221071	fastqs/lib8/USGS_221071_1.fq.gz	fastqs/lib8/USGS_221071_2.fq.gz
lib8	1	USGS_220944	fastqs/lib8/USGS_220944_1.fq.gz	fastqs/lib8/USGS_220944_2.fq.gz
lib8	1	USGS_221056	fastqs/lib8/USGS_221056_1.fq.gz	fastqs/lib8/USGS_221056_2.fq.gz
lib8	1	USGS_220975	fastqs/lib8/USGS_220975_1.fq.gz	fastqs/lib8/USGS_220975_2.fq.gz
lib8	1	USGS_220915	fastqs/lib8/USGS_220915_1.fq.gz	fastqs/lib8/USGS_220915_2.fq.gz
lib8	1	USGS_220689	fastqs/lib8/USGS_220689_1.fq.gz	fastqs/lib8/USGS_220689_2.fq.gz
lib8	1	LCL11JUL19_1_RAPR_F	fastqs/lib8/LCL11JUL19_1_RAPR_F_1.fq.gz	fastqs/lib8/LCL11JUL19_1_RAPR_F_2.fq.gz
lib8	1	RAPR_CRANE_1_20SEPT22	fastqs/lib8/RAPR_CRANE_1_20SEPT22_1.fq.gz	fastqs/lib8/RAPR_CRANE_1_20SEPT22_2.fq.gz
lib8	1	RAPR_CRANE_4_20SEPT22	fastqs/lib8/RAPR_CRANE_4_20SEPT22_1.fq.gz	fastqs/lib8/RAPR_CRANE_4_20SEPT22_2.fq.gz
lib8	1	RAPRCrane_2_20Sept22	fastqs/lib8/RAPRCrane_2_20Sept22_1.fq.gz	fastqs/lib8/RAPRCrane_2_20Sept22_2.fq.gz
lib8	1	RAPRCrane_1_22Sept22	fastqs/lib8/RAPRCrane_1_22Sept22_1.fq.gz	fastqs/lib8/RAPRCrane_1_22Sept22_2.fq.gz
lib8	1	RAPRCrane_2_22Sept22	fastqs/lib8/RAPRCrane_2_22Sept22_1.fq.gz	fastqs/lib8/RAPRCrane_2_22Sept22_2.fq.gz
lib8	1	USGS_221449	fastqs/lib8/USGS_221449_1.fq.gz	fastqs/lib8/USGS_221449_2.fq.gz
lib8	1	USGS_221699	fastqs/lib8/USGS_221699_1.fq.gz	fastqs/lib8/USGS_221699_2.fq.gz
lib8	1	USGS_222183	fastqs/lib8/USGS_222183_1.fq.gz	fastqs/lib8/USGS_222183_2.fq.gz
lib8	1	USGS_221715	fastqs/lib8/USGS_221715_1.fq.gz	fastqs/lib8/USGS_221715_2.fq.gz
lib8	1	USGS_221725	fastqs/lib8/USGS_221725_1.fq.gz	fastqs/lib8/USGS_221725_2.fq.gz
lib8	1	OSF_E1	fastqs/lib8/OSF_E1_1.fq.gz	fastqs/lib8/OSF_E1_2.fq.gz
lib8	1	OSF_E2	fastqs/lib8/OSF_E2_1.fq.gz	fastqs/lib8/OSF_E2_2.fq.gz
lib8	1	OSF_E3	fastqs/lib8/OSF_E3_1.fq.gz	fastqs/lib8/OSF_E3_2.fq.gz
lib8	1	OSF_E4	fastqs/lib8/OSF_E4_1.fq.gz	fastqs/lib8/OSF_E4_2.fq.gz
lib8	1	OSF_E5	fastqs/lib8/OSF_E5_1.fq.gz	fastqs/lib8/OSF_E5_2.fq.gz
lib8	1	OSF_E6	fastqs/lib8/OSF_E6_1.fq.gz	fastqs/lib8/OSF_E6_2.fq.gz
lib8	1	OSF_E7	fastqs/lib8/OSF_E7_1.fq.gz	fastqs/lib8/OSF_E7_2.fq.gz
lib8	1	OSF_E8	fastqs/lib8/OSF_E8_1.fq.gz	fastqs/lib8/OSF_E8_2.fq.gz
lib8	1	OSF_E10	fastqs/lib8/OSF_E10_1.fq.gz	fastqs/lib8/OSF_E10_2.fq.gz
lib8	1	OSF_E12	fastqs/lib8/OSF_E12_1.fq.gz	fastqs/lib8/OSF_E12_2.fq.gz
lib8	1	OSF_E13	fastqs/lib8/OSF_E13_1.fq.gz	fastqs/lib8/OSF_E13_2.fq.gz
lib8	1	OSF_E141	fastqs/lib8/OSF_E141_1.fq.gz	fastqs/lib8/OSF_E141_2.fq.gz
lib8	1	OSF_E143	fastqs/lib8/OSF_E143_1.fq.gz	fastqs/lib8/OSF_E143_2.fq.gz
lib8	1	OSF_E144	fastqs/lib8/OSF_E144_1.fq.gz	fastqs/lib8/OSF_E144_2.fq.gz
lib8	1	OSF_E145	fastqs/lib8/OSF_E145_1.fq.gz	fastqs/lib8/OSF_E145_2.fq.gz
lib8	1	OSF_E147	fastqs/lib8/OSF_E147_1.fq.gz	fastqs/lib8/OSF_E147_2.fq.gz
lib8	1	OSF_E149	fastqs/lib8/OSF_E149_1.fq.gz	fastqs/lib8/OSF_E149_2.fq.gz
lib8	1	OSF_E150	fastqs/lib8/OSF_E150_1.fq.gz	fastqs/lib8/OSF_E150_2.fq.gz
lib8	1	OSF_E151	fastqs/lib8/OSF_E151_1.fq.gz	fastqs/lib8/OSF_E151_2.fq.gz
lib8	1	OSF_E235	fastqs/lib8/OSF_E235_1.fq.gz	fastqs/lib8/OSF_E235_2.fq.gz
lib8	1	OSF_E243	fastqs/lib8/OSF_E243_1.fq.gz	fastqs/lib8/OSF_E243_2.fq.gz
lib8	1	OSF_E244	fastqs/lib8/OSF_E244_1.fq.gz	fastqs/lib8/OSF_E244_2.fq.gz
lib8	1	OSF_E245	fastqs/lib8/OSF_E245_1.fq.gz	fastqs/lib8/OSF_E245_2.fq.gz
lib8	1	OSF_E247	fastqs/lib8/OSF_E247_1.fq.gz	fastqs/lib8/OSF_E247_2.fq.gz
lib8	1	OSF_E250	fastqs/lib8/OSF_E250_1.fq.gz	fastqs/lib8/OSF_E250_2.fq.gz
lib8	1	OSF_E252	fastqs/lib8/OSF_E252_1.fq.gz	fastqs/lib8/OSF_E252_2.fq.gz
lib8	1	OSF_E283	fastqs/lib8/OSF_E283_1.fq.gz	fastqs/lib8/OSF_E283_2.fq.gz
lib8	1	OSF_E344	fastqs/lib8/OSF_E344_1.fq.gz	fastqs/lib8/OSF_E344_2.fq.gz
lib8	1	OSF_E345	fastqs/lib8/OSF_E345_1.fq.gz	fastqs/lib8/OSF_E345_2.fq.gz
lib8	1	OSF_E346	fastqs/lib8/OSF_E346_1.fq.gz	fastqs/lib8/OSF_E346_2.fq.gz
lib8	1	OSF_E347	fastqs/lib8/OSF_E347_1.fq.gz	fastqs/lib8/OSF_E347_2.fq.gz
lib8	1	OSF_E349	fastqs/lib8/OSF_E349_1.fq.gz	fastqs/lib8/OSF_E349_2.fq.gz
lib8	1	OSF_E350	fastqs/lib8/OSF_E350_1.fq.gz	fastqs/lib8/OSF_E350_2.fq.gz
lib8	1	OSF_E351	fastqs/lib8/OSF_E351_1.fq.gz	fastqs/lib8/OSF_E351_2.fq.gz
lib8	1	OSF_E352	fastqs/lib8/OSF_E352_1.fq.gz	fastqs/lib8/OSF_E352_2.fq.gz
lib8	1	WRH2_M02_CAP	fastqs/lib8/WRH2_M02_CAP_1.fq.gz	fastqs/lib8/WRH2_M02_CAP_2.fq.gz
lib8	1	WRBS_C02_CAP	fastqs/lib8/WRBS_C02_CAP_1.fq.gz	fastqs/lib8/WRBS_C02_CAP_2.fq.gz
lib8	1	KM_NWR_MC5_EM03_A1	fastqs/lib8/KM_NWR_MC5_EM03_A1_1.fq.gz	fastqs/lib8/KM_NWR_MC5_EM03_A1_2.fq.gz
lib8	1	KM_NWR_MC5_EM06_A1	fastqs/lib8/KM_NWR_MC5_EM06_A1_1.fq.gz	fastqs/lib8/KM_NWR_MC5_EM06_A1_2.fq.gz
lib8	1	M6_6_EM03_A1	fastqs/lib8/M6_6_EM03_A1_1.fq.gz	fastqs/lib8/M6_6_EM03_A1_2.fq.gz
lib8	1	PEN_RD_EM3_A1	fastqs/lib8/PEN_RD_EM3_A1_1.fq.gz	fastqs/lib8/PEN_RD_EM3_A1_2.fq.gz
lib8	1	KM_RI_Pnd_EM1_A1	fastqs/lib8/KM_RI_Pnd_EM1_A1_1.fq.gz	fastqs/lib8/KM_RI_Pnd_EM1_A1_2.fq.gz
lib8	1	KM_RI_Pnd_EM2_A1	fastqs/lib8/KM_RI_Pnd_EM2_A1_1.fq.gz	fastqs/lib8/KM_RI_Pnd_EM2_A1_2.fq.gz
lib8	1	KM_RI_Pnd_EM3_A1	fastqs/lib8/KM_RI_Pnd_EM3_A1_1.fq.gz	fastqs/lib8/KM_RI_Pnd_EM3_A1_2.fq.gz
