lib	unit	sample	fq1	fq2
lib1	1	OSF_E9	fastqs/lib1/OSF_E9_1.fq.gz	fastqs/lib1/OSF_E9_2.fq.gz
lib1	1	OSF_E11	fastqs/lib1/OSF_E11_1.fq.gz	fastqs/lib1/OSF_E11_2.fq.gz
lib1	1	OSF_E18	fastqs/lib1/OSF_E18_1.fq.gz	fastqs/lib1/OSF_E18_2.fq.gz
lib1	1	OSF_E19	fastqs/lib1/OSF_E19_1.fq.gz	fastqs/lib1/OSF_E19_2.fq.gz
lib1	1	OSF_E146	fastqs/lib1/OSF_E146_1.fq.gz	fastqs/lib1/OSF_E146_2.fq.gz
lib1	1	OSF_E148	fastqs/lib1/OSF_E148_1.fq.gz	fastqs/lib1/OSF_E148_2.fq.gz
lib1	1	OSF_E231	fastqs/lib1/OSF_E231_1.fq.gz	fastqs/lib1/OSF_E231_2.fq.gz
lib1	1	OSF_E233	fastqs/lib1/OSF_E233_1.fq.gz	fastqs/lib1/OSF_E233_2.fq.gz
lib1	1	OSF_E239	fastqs/lib1/OSF_E239_1.fq.gz	fastqs/lib1/OSF_E239_2.fq.gz
lib1	1	OSF_E241	fastqs/lib1/OSF_E241_1.fq.gz	fastqs/lib1/OSF_E241_2.fq.gz
lib1	1	OSF_E242	fastqs/lib1/OSF_E242_1.fq.gz	fastqs/lib1/OSF_E242_2.fq.gz
lib1	1	OSF_E381	fastqs/lib1/OSF_E381_1.fq.gz	fastqs/lib1/OSF_E381_2.fq.gz
lib1	1	OSF_ERAAU_1	fastqs/lib1/OSF_ERAAU_1_1.fq.gz	fastqs/lib1/OSF_ERAAU_1_2.fq.gz
lib1	1	RACA_S10A	fastqs/lib1/RACA_S10A_1.fq.gz	fastqs/lib1/RACA_S10A_2.fq.gz
lib2	1	OSF_E246	fastqs/lib2/OSF_E246_1.fq.gz	fastqs/lib2/OSF_E246_2.fq.gz
lib2	1	OSF_E348	fastqs/lib2/OSF_E348_1.fq.gz	fastqs/lib2/OSF_E348_2.fq.gz
lib2	1	OSF_E356	fastqs/lib2/OSF_E356_1.fq.gz	fastqs/lib2/OSF_E356_2.fq.gz
lib2	1	OSF_E357	fastqs/lib2/OSF_E357_1.fq.gz	fastqs/lib2/OSF_E357_2.fq.gz
lib2	1	OSF_E20	fastqs/lib2/OSF_E20_1.fq.gz	fastqs/lib2/OSF_E20_2.fq.gz
lib2	1	OSF_E138	fastqs/lib2/OSF_E138_1.fq.gz	fastqs/lib2/OSF_E138_2.fq.gz
lib2	1	OSF_E139	fastqs/lib2/OSF_E139_1.fq.gz	fastqs/lib2/OSF_E139_2.fq.gz
lib2	1	OSF_E234	fastqs/lib2/OSF_E234_1.fq.gz	fastqs/lib2/OSF_E234_2.fq.gz
lib2	1	OSF_E236	fastqs/lib2/OSF_E236_1.fq.gz	fastqs/lib2/OSF_E236_2.fq.gz
lib2	1	OSF_E237	fastqs/lib2/OSF_E237_1.fq.gz	fastqs/lib2/OSF_E237_2.fq.gz
lib3	1	OSF_E25	fastqs/lib3/OSF_E25_1.fq.gz	fastqs/lib3/OSF_E25_2.fq.gz
lib3	1	OSF_E27	fastqs/lib3/OSF_E27_1.fq.gz	fastqs/lib3/OSF_E27_2.fq.gz
lib3	1	OSF_E31	fastqs/lib3/OSF_E31_1.fq.gz	fastqs/lib3/OSF_E31_2.fq.gz
lib3	1	OSF_E33	fastqs/lib3/OSF_E33_1.fq.gz	fastqs/lib3/OSF_E33_2.fq.gz
lib3	1	OSF_E37	fastqs/lib3/OSF_E37_1.fq.gz	fastqs/lib3/OSF_E37_2.fq.gz
lib3	1	OSF_E152	fastqs/lib3/OSF_E152_1.fq.gz	fastqs/lib3/OSF_E152_2.fq.gz
lib3	1	OSF_E158	fastqs/lib3/OSF_E158_1.fq.gz	fastqs/lib3/OSF_E158_2.fq.gz
lib3	1	OSF_E479	fastqs/lib3/OSF_E479_1.fq.gz	fastqs/lib3/OSF_E479_2.fq.gz
lib3	1	OSF_E161	fastqs/lib3/OSF_E161_1.fq.gz	fastqs/lib3/OSF_E161_2.fq.gz
lib3	1	OSF_E167	fastqs/lib3/OSF_E167_1.fq.gz	fastqs/lib3/OSF_E167_2.fq.gz
lib3	1	OSF_E248	fastqs/lib3/OSF_E248_1.fq.gz	fastqs/lib3/OSF_E248_2.fq.gz
