lib	unit	sample	fq1	fq2
lib3	1	211888	fastqs/lib3/211888_1.fq.gz	fastqs/lib3/211888_2.fq.gz
lib3	1	211903	fastqs/lib3/211903_1.fq.gz	fastqs/lib3/211903_2.fq.gz
lib3	1	211848	fastqs/lib3/211848_1.fq.gz	fastqs/lib3/211848_2.fq.gz
lib3	1	220900	fastqs/lib3/220900_1.fq.gz	fastqs/lib3/220900_2.fq.gz
lib3	1	220848	fastqs/lib3/220848_1.fq.gz	fastqs/lib3/220848_2.fq.gz
lib3	1	220870	fastqs/lib3/220870_1.fq.gz	fastqs/lib3/220870_2.fq.gz
lib3	1	220892	fastqs/lib3/220892_1.fq.gz	fastqs/lib3/220892_2.fq.gz
lib3	1	220926	fastqs/lib3/220926_1.fq.gz	fastqs/lib3/220926_2.fq.gz
lib3	1	220677	fastqs/lib3/220677_1.fq.gz	fastqs/lib3/220677_2.fq.gz
lib3	1	220730	fastqs/lib3/220730_1.fq.gz	fastqs/lib3/220730_2.fq.gz
lib3	1	221453	fastqs/lib3/221453_1.fq.gz	fastqs/lib3/221453_2.fq.gz
lib3	1	221678	fastqs/lib3/221678_1.fq.gz	fastqs/lib3/221678_2.fq.gz
lib3	1	221961	fastqs/lib3/221961_1.fq.gz	fastqs/lib3/221961_2.fq.gz
lib3	1	221465	fastqs/lib3/221465_1.fq.gz	fastqs/lib3/221465_2.fq.gz
lib3	1	212359	fastqs/lib3/212359_1.fq.gz	fastqs/lib3/212359_2.fq.gz
lib3	1	212360	fastqs/lib3/212360_1.fq.gz	fastqs/lib3/212360_2.fq.gz
lib3	1	OSF_E25	fastqs/lib3/OSF_E25_1.fq.gz	fastqs/lib3/OSF_E25_2.fq.gz
lib3	1	OSF_E27	fastqs/lib3/OSF_E27_1.fq.gz	fastqs/lib3/OSF_E27_2.fq.gz
lib3	1	OSF_E31	fastqs/lib3/OSF_E31_1.fq.gz	fastqs/lib3/OSF_E31_2.fq.gz
lib3	1	OSF_E33	fastqs/lib3/OSF_E33_1.fq.gz	fastqs/lib3/OSF_E33_2.fq.gz
lib3	1	OSF_E37	fastqs/lib3/OSF_E37_1.fq.gz	fastqs/lib3/OSF_E37_2.fq.gz
lib3	1	OSF_E152	fastqs/lib3/OSF_E152_1.fq.gz	fastqs/lib3/OSF_E152_2.fq.gz
lib3	1	OSF_E158	fastqs/lib3/OSF_E158_1.fq.gz	fastqs/lib3/OSF_E158_2.fq.gz
lib3	1	OSF_E479	fastqs/lib3/OSF_E479_1.fq.gz	fastqs/lib3/OSF_E479_2.fq.gz
lib3	1	OSF_E161	fastqs/lib3/OSF_E161_1.fq.gz	fastqs/lib3/OSF_E161_2.fq.gz
lib3	1	OSF_E167	fastqs/lib3/OSF_E167_1.fq.gz	fastqs/lib3/OSF_E167_2.fq.gz
lib3	1	OSF_E248	fastqs/lib3/OSF_E248_1.fq.gz	fastqs/lib3/OSF_E248_2.fq.gz
lib3	1	OSF_E249	fastqs/lib3/OSF_E249_1.fq.gz	fastqs/lib3/OSF_E249_2.fq.gz
lib3	1	OSF_E251	fastqs/lib3/OSF_E251_1.fq.gz	fastqs/lib3/OSF_E251_2.fq.gz
lib3	1	OSF_E261	fastqs/lib3/OSF_E261_1.fq.gz	fastqs/lib3/OSF_E261_2.fq.gz
lib3	1	OSF_E263	fastqs/lib3/OSF_E263_1.fq.gz	fastqs/lib3/OSF_E263_2.fq.gz
lib3	1	OSF_E264	fastqs/lib3/OSF_E264_1.fq.gz	fastqs/lib3/OSF_E264_2.fq.gz
lib3	1	OSF_E265	fastqs/lib3/OSF_E265_1.fq.gz	fastqs/lib3/OSF_E265_2.fq.gz
lib3	1	OSF_E266	fastqs/lib3/OSF_E266_1.fq.gz	fastqs/lib3/OSF_E266_2.fq.gz
lib3	1	OSF_E268	fastqs/lib3/OSF_E268_1.fq.gz	fastqs/lib3/OSF_E268_2.fq.gz
lib3	1	OSF_E269	fastqs/lib3/OSF_E269_1.fq.gz	fastqs/lib3/OSF_E269_2.fq.gz
lib3	1	OSF_E382	fastqs/lib3/OSF_E382_1.fq.gz	fastqs/lib3/OSF_E382_2.fq.gz
lib3	1	OSF_E383	fastqs/lib3/OSF_E383_1.fq.gz	fastqs/lib3/OSF_E383_2.fq.gz
lib3	1	OSF_E390	fastqs/lib3/OSF_E390_1.fq.gz	fastqs/lib3/OSF_E390_2.fq.gz
lib3	1	OSF_E394	fastqs/lib3/OSF_E394_1.fq.gz	fastqs/lib3/OSF_E394_2.fq.gz
lib3	1	OSF_E396	fastqs/lib3/OSF_E396_1.fq.gz	fastqs/lib3/OSF_E396_2.fq.gz
lib3	1	OSF_ERAAU_2	fastqs/lib3/OSF_ERAAU_2_1.fq.gz	fastqs/lib3/OSF_ERAAU_2_2.fq.gz
lib3	1	BEAVER_RACA_2	fastqs/lib3/BEAVER_RACA_2_1.fq.gz	fastqs/lib3/BEAVER_RACA_2_2.fq.gz
lib3	1	DEV_EM10_A1	fastqs/lib3/DEV_EM10_A1_1.fq.gz	fastqs/lib3/DEV_EM10_A1_2.fq.gz
lib3	1	KM_NWR_DEV_EM11_A2	fastqs/lib3/KM_NWR_DEV_EM11_A2_1.fq.gz	fastqs/lib3/KM_NWR_DEV_EM11_A2_2.fq.gz
lib3	1	KM_NWR_DEV_EM12_A1	fastqs/lib3/KM_NWR_DEV_EM12_A1_1.fq.gz	fastqs/lib3/KM_NWR_DEV_EM12_A1_2.fq.gz
lib3	1	KM_NWR_DEV_EM13_A1	fastqs/lib3/KM_NWR_DEV_EM13_A1_1.fq.gz	fastqs/lib3/KM_NWR_DEV_EM13_A1_2.fq.gz
lib3	1	KM_NWR_DEV_EM14_A1	fastqs/lib3/KM_NWR_DEV_EM14_A1_1.fq.gz	fastqs/lib3/KM_NWR_DEV_EM14_A1_2.fq.gz
lib3	1	KM_NWR_DEV_EM15_A1	fastqs/lib3/KM_NWR_DEV_EM15_A1_1.fq.gz	fastqs/lib3/KM_NWR_DEV_EM15_A1_2.fq.gz
lib3	1	KM_DEV_EM20_A1	fastqs/lib3/KM_DEV_EM20_A1_1.fq.gz	fastqs/lib3/KM_DEV_EM20_A1_2.fq.gz
lib3	1	KM_DEV_EM22_A1	fastqs/lib3/KM_DEV_EM22_A1_1.fq.gz	fastqs/lib3/KM_DEV_EM22_A1_2.fq.gz
lib3	1	KM_DEV_EM24_A1	fastqs/lib3/KM_DEV_EM24_A1_1.fq.gz	fastqs/lib3/KM_DEV_EM24_A1_2.fq.gz
lib3	1	DEV_EM25_A1	fastqs/lib3/DEV_EM25_A1_1.fq.gz	fastqs/lib3/DEV_EM25_A1_2.fq.gz
lib3	1	4_MILE_BEAV_EM3_A1	fastqs/lib3/4_MILE_BEAV_EM3_A1_1.fq.gz	fastqs/lib3/4_MILE_BEAV_EM3_A1_2.fq.gz
lib3	1	4MILE_MARSH_EM1_A1	fastqs/lib3/4MILE_MARSH_EM1_A1_1.fq.gz	fastqs/lib3/4MILE_MARSH_EM1_A1_2.fq.gz
lib3	1	4MILE_MARSH_EM2_A1	fastqs/lib3/4MILE_MARSH_EM2_A1_1.fq.gz	fastqs/lib3/4MILE_MARSH_EM2_A1_2.fq.gz
lib3	1	BS_GAG_D_EM3_A1	fastqs/lib3/BS_GAG_D_EM3_A1_1.fq.gz	fastqs/lib3/BS_GAG_D_EM3_A1_2.fq.gz
lib3	1	BS_GAG_D_EM5_A2	fastqs/lib3/BS_GAG_D_EM5_A2_1.fq.gz	fastqs/lib3/BS_GAG_D_EM5_A2_2.fq.gz
lib3	1	CAP_USGS_KMHQ_A01	fastqs/lib3/CAP_USGS_KMHQ_A01_1.fq.gz	fastqs/lib3/CAP_USGS_KMHQ_A01_2.fq.gz
lib3	1	CAP_SRV1_A01	fastqs/lib3/CAP_SRV1_A01_1.fq.gz	fastqs/lib3/CAP_SRV1_A01_2.fq.gz
lib3	1	CAP_SRV1_B01	fastqs/lib3/CAP_SRV1_B01_1.fq.gz	fastqs/lib3/CAP_SRV1_B01_2.fq.gz
lib3	1	CAP_SRV2_A01	fastqs/lib3/CAP_SRV2_A01_1.fq.gz	fastqs/lib3/CAP_SRV2_A01_2.fq.gz
lib3	1	CAP_SRV3_A01	fastqs/lib3/CAP_SRV3_A01_1.fq.gz	fastqs/lib3/CAP_SRV3_A01_2.fq.gz
lib3	1	CAP_SRV3_B01	fastqs/lib3/CAP_SRV3_B01_1.fq.gz	fastqs/lib3/CAP_SRV3_B01_2.fq.gz
lib3	1	CAP_SRV3_C01	fastqs/lib3/CAP_SRV3_C01_1.fq.gz	fastqs/lib3/CAP_SRV3_C01_2.fq.gz
lib3	1	CAP_SRV3_E01	fastqs/lib3/CAP_SRV3_E01_1.fq.gz	fastqs/lib3/CAP_SRV3_E01_2.fq.gz
lib3	1	CAP_SRV4_A02	fastqs/lib3/CAP_SRV4_A02_1.fq.gz	fastqs/lib3/CAP_SRV4_A02_2.fq.gz
lib3	1	CAP_SRV4_B01	fastqs/lib3/CAP_SRV4_B01_1.fq.gz	fastqs/lib3/CAP_SRV4_B01_2.fq.gz
lib3	1	CAP_SRV4_C01	fastqs/lib3/CAP_SRV4_C01_1.fq.gz	fastqs/lib3/CAP_SRV4_C01_2.fq.gz
lib3	1	CAP_SRV4_D01	fastqs/lib3/CAP_SRV4_D01_1.fq.gz	fastqs/lib3/CAP_SRV4_D01_2.fq.gz
lib3	1	CAP_SRV4_E02	fastqs/lib3/CAP_SRV4_E02_1.fq.gz	fastqs/lib3/CAP_SRV4_E02_2.fq.gz
lib3	1	CAP_SRV4_F01	fastqs/lib3/CAP_SRV4_F01_1.fq.gz	fastqs/lib3/CAP_SRV4_F01_2.fq.gz
lib3	1	CAP_SRV4_H01	fastqs/lib3/CAP_SRV4_H01_1.fq.gz	fastqs/lib3/CAP_SRV4_H01_2.fq.gz
lib3	1	CAP_SRV4_I01	fastqs/lib3/CAP_SRV4_I01_1.fq.gz	fastqs/lib3/CAP_SRV4_I01_2.fq.gz
lib3	1	CAP_SRV4_J01	fastqs/lib3/CAP_SRV4_J01_1.fq.gz	fastqs/lib3/CAP_SRV4_J01_2.fq.gz
lib3	1	CAP_SRV4_K01	fastqs/lib3/CAP_SRV4_K01_1.fq.gz	fastqs/lib3/CAP_SRV4_K01_2.fq.gz
lib3	1	CAP_SRV4_M01	fastqs/lib3/CAP_SRV4_M01_1.fq.gz	fastqs/lib3/CAP_SRV4_M01_2.fq.gz
lib3	1	CAP_SRNT_A03	fastqs/lib3/CAP_SRNT_A03_1.fq.gz	fastqs/lib3/CAP_SRNT_A03_2.fq.gz
lib3	1	CAP_SRNT_B01	fastqs/lib3/CAP_SRNT_B01_1.fq.gz	fastqs/lib3/CAP_SRNT_B01_2.fq.gz
lib3	1	CAP_SRNT_C01	fastqs/lib3/CAP_SRNT_C01_1.fq.gz	fastqs/lib3/CAP_SRNT_C01_2.fq.gz
lib3	1	CAP_SRNT_D02	fastqs/lib3/CAP_SRNT_D02_1.fq.gz	fastqs/lib3/CAP_SRNT_D02_2.fq.gz
lib3	1	CAP_SRNT_E01	fastqs/lib3/CAP_SRNT_E01_1.fq.gz	fastqs/lib3/CAP_SRNT_E01_2.fq.gz
lib3	1	CAP_SRNT_F01	fastqs/lib3/CAP_SRNT_F01_1.fq.gz	fastqs/lib3/CAP_SRNT_F01_2.fq.gz
lib3	1	CAP_SRNT_G01	fastqs/lib3/CAP_SRNT_G01_1.fq.gz	fastqs/lib3/CAP_SRNT_G01_2.fq.gz
lib3	1	CAP_SRNT_H02	fastqs/lib3/CAP_SRNT_H02_1.fq.gz	fastqs/lib3/CAP_SRNT_H02_2.fq.gz
lib3	1	CAP_SRNT_I01	fastqs/lib3/CAP_SRNT_I01_1.fq.gz	fastqs/lib3/CAP_SRNT_I01_2.fq.gz
lib3	1	CAP_LOXW_AO2	fastqs/lib3/CAP_LOXW_AO2_1.fq.gz	fastqs/lib3/CAP_LOXW_AO2_2.fq.gz
lib3	1	CAP_LOXW_BO1	fastqs/lib3/CAP_LOXW_BO1_1.fq.gz	fastqs/lib3/CAP_LOXW_BO1_2.fq.gz
lib3	1	CAP_LOXW_CO1	fastqs/lib3/CAP_LOXW_CO1_1.fq.gz	fastqs/lib3/CAP_LOXW_CO1_2.fq.gz
lib3	1	CAP_LOXW_DO1	fastqs/lib3/CAP_LOXW_DO1_1.fq.gz	fastqs/lib3/CAP_LOXW_DO1_2.fq.gz
